,Rank,Name,county_name,city_state,state,2020_Pop,2010_Census,Change,Density_km,Area_km,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Unemployment,pop_change,pop_change_per_year,est_pop_2011,est_pop_2012,est_pop_2013,est_pop_2014,est_pop_2015,est_pop_2016,est_pop_2017,est_pop_2018,est_pop_2019,City,State_Code,2018 total police force,total_employees,2018 police officers,2018 police civilians
189,190,McAllen,Hidalgo,McAllen_Texas,Texas,144279,132123,0.092,848,170,91.8,6.6,0.4,0.1,0.9,0,15883,31.8,8.1,12156,1215.6,133338.6,134554.2,135769.8,136985.4,138201,139416.6,140632.2,141847.8,143063.4,McAllen,TX,144363,427,285,142
190,191,Waco,McLennan,Waco_Texas,Texas,144015,125409,0.1484,626,230,25.6,56.7,14.2,0.2,1.5,0,24273,19.3,5.1,18606,1860.6,127269.6,129130.2,130990.8,132851.4,134712,136572.6,138433.2,140293.8,142154.4,Waco,TX,138091,347,249,98
191,192,Roseville,Placer,Roseville_California,California,143921,119795,0.2014,1261,114,13.6,73.8,1.4,0.3,6.8,0.1,39734,8.2,5.6,24126,2412.6,122207.6,124620.2,127032.8,129445.4,131858,134270.6,136683.2,139095.8,141508.4,Roseville,CA,137706,185,122,63
192,193,Torrance,Los Angeles,Torrance_California,California,143912,145183,-0.0088,2708,53,48.4,26.5,7.9,0.2,14.3,0.2,30798,17,7.8,-1271,-127.1,145055.9,144928.8,144801.7,144674.6,144547.5,144420.4,144293.3,144166.2,144039.1,Torrance,CA,146968,316,212,104
193,194,Thornton,Adams,Thornton_Colorado,Colorado,143890,119391,0.2052,1548,93,39.3,51.1,3,0.5,3.8,0.1,27487,12.2,5.1,24499,2449.9,121840.9,124290.8,126740.7,129190.6,131640.5,134090.4,136540.3,138990.2,141440.1,Thornton,CO,139697,313,233,80
194,195,Metairie,Jefferson,Metairie_Louisiana,Louisiana,143481,138481,0.0361,2382,60,14.3,53.4,26.1,0.3,4.2,0,28839,16.3,5.9,5000,500,138981,139481,139981,140481,140981,141481,141981,142481,142981,,,,,,
195,195,Metairie,Jefferson,Metairie_Louisiana,Louisiana,143481,138481,0.0361,2382,60,2.3,78.6,16.3,0.7,0.4,0,23068,19.6,9.1,5000,500,138981,139481,139981,140481,140981,141481,141981,142481,142981,,,,,,
196,196,Miramar,Broward,Miramar_Florida,Florida,143219,122299,0.1711,1917,75,28.4,38.2,27.4,0.2,3.5,0,30109,14,7.6,20920,2092,124391,126483,128575,130667,132759,134851,136943,139035,141127,Miramar,FL,143103,290,215,75
197,197,Bridgeport,Fairfield,Bridgeport_Connecticut,Connecticut,143010,144858,-0.0128,3437,42,19,62.8,10.4,0.1,5.1,0,53433,8.8,7.6,-1848,-184.8,144673.2,144488.4,144303.6,144118.8,143934,143749.2,143564.4,143379.6,143194.8,Bridgeport,CT,146819,445,392,53
198,198,Olathe,Johnson,Olathe_Kansas,Kansas,142841,126249,0.1314,895,160,7.4,80.5,4.5,0.2,4.7,0,43061,5.6,3.5,16592,1659.2,127908.2,129567.4,131226.6,132885.8,134545,136204.2,137863.4,139522.6,141181.8,Olathe,KS,139154,211,182,29
199,199,Denton,Denton,Denton_Texas,Texas,142173,117058,0.2146,570,249,19.1,60.9,9.1,0.3,7.8,0.1,37928,8.4,4.5,25115,2511.5,119569.5,122081,124592.5,127104,129615.5,132127,134638.5,137150,139661.5,Denton,TX,139262,227,174,53
200,200,Surprise,Maricopa,Surprise_Arizona,Arizona,142049,117674,0.2071,508,280,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,24375,2437.5,120111.5,122549,124986.5,127424,129861.5,132299,134736.5,137174,139611.5,Surprise,AZ,136611,193,139,54
